"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Jan-2019","    14218.35","    14338.60","    14211.75","    14242.60","       48341601","         1633.14"
"17-Jan-2019","    14318.95","    14366.80","    14208.65","    14257.50","       56345979","         1832.15"
"18-Jan-2019","    14365.75","    14667.10","    14272.15","    14607.50","       62343301","         3749.91"
"21-Jan-2019","    14686.45","    15000.15","    14633.75","    14963.85","       60326267","         3385.99"
"22-Jan-2019","    14937.10","    15047.70","    14844.25","    14949.85","       55240164","         2817.73"
"23-Jan-2019","    14949.75","    15046.60","    14813.50","    14849.80","       45612323","         1792.28"
"24-Jan-2019","    14843.90","    15067.55","    14812.00","    14990.40","       47162967","         2299.63"
"25-Jan-2019","    15027.40","    15160.75","    14895.00","    14970.05","       42263592","         1732.79"
"28-Jan-2019","    15006.25","    15019.05","    14755.85","    14820.05","       45261595","         1734.27"
"29-Jan-2019","    14816.00","    14822.60","    14570.00","    14630.50","       72653207","         2238.93"
"30-Jan-2019","    14670.75","    14723.05","    14426.25","    14479.25","       72401733","         2082.57"
"31-Jan-2019","    14541.45","    14816.25","    14532.65","    14792.95","      157583215","         3789.28"
"01-Feb-2019","    14867.05","    15025.60","    14770.55","    14975.75","       46129978","         1849.54"
"04-Feb-2019","    14934.35","    15269.55","    14891.55","    15215.35","       63743461","         2486.37"
"05-Feb-2019","    15214.70","    15309.30","    15131.70","    15198.95","       57749482","         2186.96"
"06-Feb-2019","    15229.70","    15433.85","    15209.00","    15394.15","      138925408","         3481.36"
"07-Feb-2019","    15395.30","    15472.65","    15185.50","    15225.10","      170221081","         3296.59"
"08-Feb-2019","    15161.50","    15307.40","    14983.85","    15013.65","      117383956","         2318.92"
"11-Feb-2019","    14975.40","    14977.15","    14730.20","    14762.90","       87886838","         2115.56"
"12-Feb-2019","    14747.20","    14943.80","    14747.05","    14802.15","       92876274","         2048.83"
"13-Feb-2019","    14848.90","    14899.05","    14495.85","    14576.15","       85420763","         2106.74"
"14-Feb-2019","    14526.40","    14530.10","    14261.30","    14335.10","      163887754","         3287.60"
"15-Feb-2019","    14455.50","    14651.65","    14329.00","    14618.45","      134158971","         3046.15"
"18-Feb-2019","    14665.55","    14696.05","    14377.25","    14433.80","       90849309","         2381.85"
"19-Feb-2019","    14410.65","    14635.65","    14377.75","    14411.05","       59880033","         1636.73"
"20-Feb-2019","    14515.70","    14747.90","    14477.90","    14679.15","       93843093","         2146.71"
"21-Feb-2019","    14686.30","    14844.35","    14627.50","    14796.80","       77319611","         2478.47"
"22-Feb-2019","    14807.05","    14844.50","    14719.10","    14777.05","      121145797","         2875.38"
"25-Feb-2019","    14806.20","    14825.75","    14646.05","    14762.95","      124774801","         2977.35"
"26-Feb-2019","    14532.80","    14807.90","    14474.10","    14695.60","      103593746","         2755.59"
